Word,Count
.Experts,1
unable,96
explain,104
suddenly,446
sleeping,58
pattern,5
newscaster,1
allowed,133
grin,58
.And,1430
Jim,3
McGuffin,1
weather,45
.Going,9
showers,3
tonight,178
?Well,155
Ted,37
weatherman,1
dont,1485
only,1255
acting,41
oddly,58
.Viewers,1
far,353
apart,145
Kent,3
Yorkshire,6
Dundee,1
phoning,1
tell,897
instead,177
rain,79
promised,31
yesterday,37
theyve,118
downpour,5
shooting,35
stars,58
!Perhaps,2
Bonfire,1
Night,1
early,95
week,161
folks,1
can,1211
promise,44
wet,57
frozen,59
armchair,66
.Shooting,2
Britain,22
?Owls,1
?Mysterious,1
place,542
?And,139
whisper,94
carrying,157
two,900
cups,18
tea,138
cleared,73
throat,131
nervously,112
.Er,131
Petunia,253
havent,317
your,1976
lately,40
?As,32
expected,151
shocked,68
angry,180
.After,158
.No,616
sharply,130
.Why,308
?Funny,1
stuff,194
mumbled,50
.Owls,2
.shooting,2
.and,279
funnylooking,1
.So,551
?snapped,16
.Well,961
.maybe,16
.it,56
do,2114
.you,89
.her,2
crowd,291
sipped,4
through,1532
pursed,9
lips,94
whether,340
dared,24
decided,129
dare,102
.Instead,35
casually,21
Their,17
Dudleys,63
age,79
wouldnt,381
?I,475
suppose,174
stiffly,24
.Whats,226
?Howard,1
isnt,334
?Harry,725
.Nasty,6
common,277
ask,341
.Oh,601
heart,275
sinking,44
horribly,41
.Yes,370
agree,37
subject,112
upstairs,127
.While,37
bathroom,105
crept,57
bedroom,112
peered,62
front,801
staring,470
waiting,227
?Could,10
?If,41
.if,26
related,15
pair,164
well,913
asleep,107
quickly,424
lay,239
awake,67
turning,225
.His,500
comforting,11
come,1043
near,181
kind,206
mixed,16
going,1457
yawned,27
turned,1069
affect,12
.How,387
wrong,243
drifting,27
sleep,125
showing,94
sleepiness,1
statue,59
fixed,105
unblinkingly,11
quiver,8
slammed,76
nor,142
swooped,39
.In,243
midnight,55
.A,858
appeared,302
watching,360
silently,49
popped,15
tail,102
twitched,29
narrowed,31
.Nothing,84
tall,101
judging,20
silver,272
hair,554
beard,91
both,532
long,1000
enough,491
tuck,2
belt,16
robes,469
purple,108
swept,85
highheeled,4
buckled,12
boots,19
blue,147
bright,154
sparkling,26
behind,1109
halfmoon,24
spectacles,52
nose,302
crooked,31
broken,174
least,221
mans,55
Albus,145
Dumbledore,2531
.Albus,22
where,1100
unwelcome,6
busy,96
rummaging,18
other,1113
end,559
amuse,3
chuckled,25
muttered,318
known,187
inside,655
pocket,196
cigarette,5
lighter,12
flicked,25
open,683
held,259
air,540
clicked,40
nearest,97
lamp,49
pop,30
flickered,26
darkness,222
.Twelve,5
times,227
PutOuter,3
lights,66
whole,352
pinpricks,3
distance,74
beadyeyed,1
able,395
pavement,24
.Dumbledore,397
slipped,130
Put,6
Outer,2
moment,882
spoke,227
.Fancy,6
seeing,128
here,1305
Professor,1539
McGonagall,672
smiling,177
rather,454
severelooking,1
woman,171
square,57
glasses,195
exactly,237
shape,40
emerald,23
.Her,117
black,492
drawn,48
tight,103
distinctly,37
ruffled,18
?she,142
asked,690
.My,221
Ive,441
sit,131
.Youd,51
stiff,24
brick,22
.All,320
?When,22
dozen,72
feasts,4
parties,11
.Professor,416
sniffed,20
everyones,29
impatiently,97
theyd,118
careful,80
somethings,8
dark,505
livingroom,1
.I,3514
.Flocks,1
theyre,291
completely,174
bound,78
notice,115
Ill,304
bet,101
Dedalus,21
Diggle,10
sense,128
.You,1549
cant,644
gently,59
.Weve,119
precious,18
celebrate,10
eleven,56
irritably,49
lose,58
heads,179
downright,9
careless,8
streets,9
swapping,4
rumors,35
threw,206
sharp,83
sideways,107
glance,71
fine,149
YouKnowWho,122
seems,98
disappeared,120
us,1032
really,842
certainly,102
.We,592
thankful,5
.Would,36
care,183
lemon,10
drop,69
?A,64
.Theyre,113
sweet,29
Im,765
fond,22
coldly,86
drops,29
My,42
surely,79
sensible,12
person,203
call,176
?All,24
trying,700
persuade,49
proper,32
Voldemort,855
flinched,12
unsticking,2
gets,65
confusing,4
we,2029
keep,464
frightened,92
Voldemorts,221
sounding,86
exasperated,18
admiring,9
youre,589
.Everyone,90
knows,182
Know,16
oh,100
flatter,3
calmly,79
.Voldemort,114
powers,55
will,1307
.Only,74
noble,22
use,312
.Its,638
lucky,82
blushed,9
Madam,251
Pomfrey,148
liked,98
earmuffs,9
shot,161
The,412
?About,6
hes,694
reached,411
anxious,68
discuss,48
real,217
cold,319
hard,450
neither,94
piercing,20
plain,29
everyone,312
believe,336
true,175
choosing,13
answer,241
pressed,97
is,2840
Godrics,53
Hollow,54
find,638
rumor,15
Lily,85
James,146
bowed,56
gasped,115
.Lily,18
patted,27
shoulder,295
.he,133
heavily,109
McGonagalls,53
trembled,32
.Thats,256
kill,240
power,148
somehow,81
broke,175
nodded,174
glumly,14
?faltered,1
done,526
.all,22
killed,180
?Its,69
astounding,1
.of,15
stop,334
heaven,1
survive,21
?We,61
guess,34
may,143
lace,11
handkerchief,39
dabbed,5
beneath,217
great,600
sniff,12
took,714
golden,212
watch,240
examined,40
odd,173
twelve,108
hands,599
numbers,15
planets,12
moving,249
Hagrids,194
late,155
Id,268
?Yes,186
places,61
?Ive,39
bring,117
aunt,56
uncle,56
family,254
mean,564
live,112
?cried,5
jumping,38
feet,748
pointing,286
.Ive,295
less,168
kicking,8
mother,266
sweets,27
.Harry,3880
!Its,52
best,321
firmly,112
written,77
letter,254
?repeated,36
faintly,37
.Really,47
?These,7
understand,274
!Hell,9
famous,78
legend,14
surprised,131
Day,19
future,37
books,249
world,181
!Exactly,3
seriously,87
top,411
turn,229
boys,158
.Famous,3
talk,293
!Famous,2
wont,349
remember,286
!Cant,5
hell,105
growing,87
ready,183
take,691
?Professor,44
opened,434
mouth,441
swallowed,67
Yes,27
course,608
getting,327
?She,99
hiding,125
underneath,41
.Hagrids,28
bringing,54
wise,17
trust,84
Hagrid,1428
life,326
.Im,461
grudgingly,17
pretend,50
does,260
tend,8
low,226
rumbling,26
sound,306
silence,306
grew,59
steadily,33
louder,82
headlight,1
swelled,23
roar,58
huge,128
motorcycle,11
landed,116
astride,4
simply,144
wild,64
tangles,4
bushy,26
hid,28
size,77
trash,7
lids,5
leather,30
baby,54
dolphins,1
vast,46
muscular,5
arms,298
holding,311
bundle,15
blankets,27
.Hagrid,297
relieved,52
?Borrowed,1
giant,147
climbing,30
carefully,140
.Young,3
Sirius,857
Black,322
lent,9
?No,228
destroyed,38
started,410
swarmin,1
flyin,2
Bristol,1
bent,135
forward,463
.Inside,24
visible,66
fast,245
.Under,12
tuft,4
jetblack,8
forehead,128
curiously,49
shaped,21
cut,112
bolt,20
lightning,31
.Is,122
?whispered,32
.Hell,28
scar,276
forever,48
.Couldnt,19
?Even,8
.Scars,1
handy,8
myself,139
above,225
knee,27
perfect,39
London,68
Underground,10
give,430
wed,116
.Could,36
?asked,403
shaggy,18
scratchy,2
whiskery,2
.Then,530
howl,18
wounded,8
dog,109
.Shhh,1
!hissed,4
youll,167
wake,85
!Sssorry,1
sobbed,30
taking,301
burying,6
cc,1
stand,168
poor,89
ter,371
sad,23
grip,78
whispered,388
patting,31
gingerly,14
arm,352
stepped,162
laid,57
doorstep,13
tucked,26
Harrys,1240
full,411
minute,108
three,584
shoulders,105
shook,227
furiously,122
twinkling,24
usually,114
shone,28
Dumbledores,294
business,91
staying,58
go,1309
join,114
celebrations,4
.Yeah,370
muffled,51
bike,20
.G,2
.Wiping,1
streaming,32
jacket,38
sleeve,54
swung,124
onto,578
kicked,64
engine,22
rose,147
shall,203
nodding,65
blew,32
reply,39
once,959
balls,49
lamps,32
glowed,21
orange,44
make,691
slinking,3
step,114
.Good,178
luck,94
murmured,65
heel,17
swish,6
breeze,31
neat,30
hedges,10
silent,155
tidy,7
under,624
inky,10
astonishing,5
happen,160
rolled,109
without,532
waking,15
.One,175
hand,1120
closed,279
beside,353
slept,29
knowing,79
special,44
woken,22
hours,168
scream,94
milk,19
bottles,53
spend,33
weeks,128
prodded,13
pinched,3
cousin,41
meeting,104
hushed,33
voices,119
To,20
lived,78
!THE,6
VANASHIG,1
GLASS,1
Nearly,61
ten,234
sun,81
gardens,7
lit,119
brass,30
fateful,1
photographs,29
mantelpiece,20
showed,111
.Ten,35
ago,223
pictures,48
pink,120
beach,3
ball,93
differentcolored,3
bonnets,1
longer,194
blond,36
riding,14
bicycle,2
carousel,1
fair,35
playing,111
computer,8
game,69
father,305
kissed,27
.Yet,41
Aunt,219
shrill,15
noise,223
.Up,25
!Get,13
!Now,21
!Harry,437
start,203
rapped,13
!she,154
screeched,18
walking,190
kitchen,233
frying,8
pan,10
stove,12
dream,93
feeling,367
.Are,133
yet,418
demanded,36
.Nearly,34
bacon,23
burn,37
Duddys,1
birthday,84
groaned,35
?his,1
.Dudleys,8
slowly,334
socks,60
pulling,185
spider,65
used,260
spiders,65
cupboard,88
stairs,220
hall,327
table,680
hidden,166
presents,36
gotten,51
television,29
racing,37
.Exactly,25
mystery,12
fat,70
hated,46
exercise,9
unless,96
punching,17
favorite,80
often,99
.Perhaps,84
skinny,22
smaller,38
skinnier,1
wear,49
bigger,27
knobbly,11
knees,134
green,244
wore,51
round,166
Scotch,1
tape,6
punched,17
own,629
appearance,65
question,172
asking,93
crash,58
parents,225
died,239
questions,95
.Dont,251
rule,30
quiet,158
.Uncle,85
Vernon,425
entered,216
.Comb,1
!he,233
barked,20
greeting,14
.About,30
Uncle,368
newspaper,53
needed,137
haircut,7
haircuts,2
rest,345
class,312
difference,60
eggs,55
.Dudley,63
watery,22
thick,199
smoothly,34
.Aunt,50
angel,5
pig,14
wig,10
plates,51
egg,104
difficult,144
meanwhile,29
counting,30
.Thirtysix,1
year,462
.Darling,2
counted,19
Auntie,28
Marges,10
present,107
Mommy,2
Daddy,7
thirtyseven,2
red,276
coming,382
began,432
wolfing,1
case,209
scented,2
danger,83
while,649
.Hows,20
popkin,3
?Two,5
?Dudley,10
.Finally,47
So,45
thirty,24
.thirty,1
.Thirtynine,2
sweetums,2
grabbed,91
parcel,31
wants,144
moneys,1
worth,80
.Atta,1
rang,75
unwrap,6
video,4
camera,20
remote,5
control,92
airplane,5
sixteen,35
games,13
VCR,2
ripping,20
paper,119
gold,236
wristwatch,2
.Bad,7
Figgs,4
leg,141
horror,69
leap,22
.Every,75
friend,183
adventure,17
parks,1
hamburger,4
restaurants,2
movies,1
Figg,49
mad,133
lady,21
smelled,17
cabbage,2
shed,76
owned,26
.Now,345
?said,1760
planned,24
ought,163
feel,363
easy,89
reminded,57
Tibbies,4
Snowy,2
Paws,1
Tufty,1
phone,2
Marge,55
suggested,64
hates,12
nasty,101
slug,13
whatshername,1
Yvonne,1
?On,7
vacation,9
Majorca,3
leave,309
hopefully,46
change,120
maybe,89
ruins,2
snarled,67
blow,46
listening,178
zoo,9
.That,262
cars,29
alone,304
cry,59
crying,64
cried,86
screwed,34
wailed,9
.Dinky,1
Duddydums,1
Mummy,4
spoil,8
flinging,7
.dont,9
.want,4
.him,6
.ttto,1
!Dudley,7
between,442
sobs,25
sp,1
spoils,1
gap,40
mothers,83
.Just,194
doorbell,11
Oh,69
Lord,359
frantically,39
Piers,12
Polkiss,3
.Piers,4
scrawny,7
rat,66
peoples,21
backs,23
hit,275
pretending,63
.Half,30
hour,186
taken,318
aside,138
warning,82
putting,99
Christmas,202
honestly,29
But,216
problem,95
happened,524
telling,251
.Once,99
tired,60
barbers,1
scissors,2
short,202
bald,32
bangs,27
hide,82
horrible,164
laughed,149
sleepless,2
school,597
already,474
baggy,7
taped,2
.Next,47
sheared,1
given,264
grown,44
.Another,30
force,97
revolting,6
sweater,31
brown,67
puff,8
become,136
fitted,13
puppet,5
fit,80
shrunk,4
wash,17
relief,80
punished,18
terrible,130
trouble,206
roof,24
kitchens,22
gang,34
chasing,21
surprise,133
elses,26
chimney,14
received,65
headmistress,17
buildings,9
locked,70
jump,54
cans,4
doors,218
wind,107
midjump,1
spending,24
somewhere,131
cabbagesmelling,1
complained,10
complain,24
council,3
bank,53
subjects,30
motorcycles,3
.,328
.roaring,1
along,488
maniacs,3
hoodlums,1
overtook,3
remembering,37
crashed,27
seat,177
gigantic,59
beet,1
